
TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,46.9,32.0,56,30.13,10.0,SSW,9.2,-,N/A,,Partly Cloudy,210,2016-05-16 05:51:00<br />
1:51 AM,46.9,30.9,54,30.13,10.0,SSW,8.1,-,N/A,,Clear,210,2016-05-16 06:51:00<br />
2:51 AM,46.9,30.9,54,30.11,10.0,SSW,9.2,-,N/A,,Clear,210,2016-05-16 07:51:00<br />
3:51 AM,46.9,30.9,54,30.11,10.0,SSW,9.2,-,N/A,,Clear,210,2016-05-16 08:51:00<br />
4:51 AM,46.0,32.0,58,30.10,10.0,SSW,10.4,-,N/A,,Clear,210,2016-05-16 09:51:00<br />
5:51 AM,46.0,33.1,61,30.10,10.0,SSW,10.4,-,N/A,,Partly Cloudy,210,2016-05-16 10:51:00<br />
6:51 AM,50.0,34.0,54,30.12,10.0,SW,13.8,20.7,N/A,,Partly Cloudy,220,2016-05-16 11:51:00<br />
7:51 AM,53.1,35.1,50,30.12,10.0,SW,18.4,25.3,N/A,,Partly Cloudy,230,2016-05-16 12:51:00<br />
8:51 AM,57.0,37.9,49,30.11,10.0,SW,11.5,20.7,N/A,,Scattered Clouds,230,2016-05-16 13:51:00<br />
9:51 AM,60.1,39.9,47,30.11,10.0,WSW,16.1,24.2,N/A,,Scattered Clouds,240,2016-05-16 14:51:00<br />
10:51 AM,62.1,41.0,46,30.10,10.0,WSW,17.3,-,N/A,,Mostly Cloudy,250,2016-05-16 15:51:00<br />
11:51 AM,66.0,44.1,45,30.10,10.0,WSW,15.0,21.9,N/A,,Mostly Cloudy,240,2016-05-16 16:51:00<br />
12:51 PM,68.0,41.0,37,30.08,10.0,WSW,17.3,26.5,N/A,,Mostly Cloudy,250,2016-05-16 17:51:00<br />
1:51 PM,69.1,37.9,32,30.07,10.0,WSW,16.1,25.3,N/A,,Mostly Cloudy,250,2016-05-16 18:51:00<br />
2:51 PM,69.1,39.0,33,30.07,10.0,WSW,17.3,25.3,N/A,,Mostly Cloudy,240,2016-05-16 19:51:00<br />
3:51 PM,68.0,39.0,35,30.06,10.0,SW,18.4,27.6,N/A,,Overcast,230,2016-05-16 20:51:00<br />
4:51 PM,66.9,37.9,34,30.07,10.0,West,18.4,-,N/A,,Overcast,260,2016-05-16 21:51:00<br />
5:51 PM,66.0,39.0,37,30.06,10.0,WSW,16.1,23.0,N/A,,Overcast,240,2016-05-16 22:51:00<br />
6:51 PM,64.0,39.9,41,30.07,10.0,WSW,11.5,-,N/A,,Overcast,240,2016-05-16 23:51:00<br />
7:51 PM,63.0,41.0,45,30.07,10.0,WSW,12.7,-,N/A,,Overcast,240,2016-05-17 00:51:00<br />
8:51 PM,60.1,45.0,57,30.09,10.0,WSW,16.1,23.0,N/A,,Overcast,250,2016-05-17 01:51:00<br />
9:51 PM,59.0,44.1,58,30.12,10.0,WSW,16.1,-,N/A,,Overcast,250,2016-05-17 02:51:00<br />
10:51 PM,57.9,44.1,60,30.14,10.0,West,13.8,-,N/A,,Overcast,270,2016-05-17 03:51:00<br />
11:51 PM,55.0,45.0,69,30.15,10.0,WNW,9.2,-,0.00,Rain,Light Rain,290,2016-05-17 04:51:00<br />
