
TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:11 AM,64.0,61.0,90,29.97,8.0,NNW,9.2,-,0.03,Rain-Thunderstorm,Light Thunderstorms and Rain,340,2016-06-10 05:11:00<br />
12:48 AM,62.6,60.8,94,29.96,10.0,NE,13.8,-,0.06,,Overcast,50,2016-06-10 05:48:00<br />
12:51 AM,63.0,60.1,90,29.96,10.0,NE,11.5,-,0.06,,Overcast,50,2016-06-10 05:51:00<br />
1:10 AM,63.0,60.1,90,29.96,8.0,NE,10.4,-,0.06,Rain-Thunderstorm,Light Thunderstorms and Rain,40,2016-06-10 06:10:00<br />
1:51 AM,63.0,60.1,90,29.94,10.0,ESE,9.2,-,0.08,Rain-Thunderstorm,Light Thunderstorms and Rain,110,2016-06-10 06:51:00<br />
2:08 AM,63.0,60.1,90,29.93,10.0,SSE,8.1,-,0.00,Rain,Light Rain,150,2016-06-10 07:08:00<br />
2:51 AM,63.0,61.0,93,29.93,10.0,SSE,4.6,-,0.02,Rain,Light Rain,160,2016-06-10 07:51:00<br />
3:51 AM,63.0,62.1,97,29.95,8.0,North,8.1,-,0.00,,Overcast,360,2016-06-10 08:51:00<br />
4:51 AM,63.0,62.1,97,29.96,8.0,North,4.6,-,N/A,,Overcast,360,2016-06-10 09:51:00<br />
5:51 AM,63.0,61.0,93,29.96,5.0,SSW,4.6,-,N/A,Fog,Shallow Fog,200,2016-06-10 10:51:00<br />
6:51 AM,66.0,63.0,90,29.96,8.0,Calm,Calm,-,N/A,,Overcast,0,2016-06-10 11:51:00<br />
7:51 AM,69.1,64.9,87,29.97,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2016-06-10 12:51:00<br />
8:51 AM,75.0,66.9,76,30.00,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2016-06-10 13:51:00<br />
9:51 AM,79.0,68.0,69,29.99,10.0,WSW,6.9,-,N/A,,Scattered Clouds,250,2016-06-10 14:51:00<br />
10:51 AM,82.0,68.0,62,29.98,10.0,West,9.2,-,N/A,,Partly Cloudy,260,2016-06-10 15:51:00<br />
11:51 AM,84.9,66.9,55,29.95,10.0,SW,13.8,18.4,N/A,,Partly Cloudy,230,2016-06-10 16:51:00<br />
12:51 PM,87.1,66.9,51,29.94,10.0,WSW,13.8,21.9,N/A,,Partly Cloudy,250,2016-06-10 17:51:00<br />
1:51 PM,88.0,66.9,49,29.92,10.0,WSW,13.8,-,N/A,,Partly Cloudy,250,2016-06-10 18:51:00<br />
2:51 PM,90.0,64.0,42,29.91,10.0,WSW,19.6,26.5,N/A,,Partly Cloudy,240,2016-06-10 19:51:00<br />
3:51 PM,90.0,63.0,40,29.89,10.0,SW,15.0,24.2,N/A,,Scattered Clouds,220,2016-06-10 20:51:00<br />
4:51 PM,90.0,63.0,40,29.87,10.0,SW,18.4,27.6,N/A,,Partly Cloudy,230,2016-06-10 21:51:00<br />
5:51 PM,90.0,61.0,38,29.86,10.0,WSW,19.6,25.3,N/A,,Clear,240,2016-06-10 22:51:00<br />
6:51 PM,89.1,61.0,39,29.85,10.0,SW,11.5,-,N/A,,Partly Cloudy,230,2016-06-10 23:51:00<br />
7:51 PM,87.1,60.1,40,29.88,10.0,SW,11.5,19.6,N/A,,Partly Cloudy,230,2016-06-11 00:51:00<br />
8:51 PM,84.0,61.0,46,29.87,10.0,SW,9.2,-,N/A,,Scattered Clouds,230,2016-06-11 01:51:00<br />
9:51 PM,82.9,62.1,49,29.89,10.0,SW,9.2,-,N/A,,Mostly Cloudy,230,2016-06-11 02:51:00<br />
10:51 PM,82.0,62.1,51,29.93,10.0,West,11.5,-,N/A,,Overcast,270,2016-06-11 03:51:00<br />
11:51 PM,78.1,62.1,58,29.95,10.0,NW,6.9,-,N/A,,Mostly Cloudy,310,2016-06-11 04:51:00<br />
