
TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,52.0,41.0,66,29.96,10.0,SE,5.8,-,N/A,,Overcast,140,2016-05-09 05:51:00<br />
1:51 AM,53.1,41.0,64,29.95,10.0,SE,3.5,-,N/A,,Overcast,140,2016-05-09 06:51:00<br />
2:51 AM,55.9,43.0,62,29.94,10.0,ESE,3.5,-,N/A,,Mostly Cloudy,110,2016-05-09 07:51:00<br />
3:51 AM,55.0,46.0,72,29.92,10.0,ESE,5.8,-,N/A,,Overcast,120,2016-05-09 08:51:00<br />
4:51 AM,55.0,46.9,74,29.94,10.0,South,6.9,-,N/A,,Overcast,170,2016-05-09 09:51:00<br />
5:51 AM,55.0,46.0,72,29.95,10.0,SSE,8.1,-,N/A,,Overcast,150,2016-05-09 10:51:00<br />
6:51 AM,55.9,44.1,64,29.97,10.0,SSE,11.5,-,N/A,,Overcast,150,2016-05-09 11:51:00<br />
7:51 AM,55.9,43.0,62,29.97,10.0,SE,13.8,-,0.00,Rain,Light Rain,130,2016-05-09 12:51:00<br />
8:51 AM,55.9,45.0,67,29.98,10.0,SE,13.8,-,0.00,,Overcast,140,2016-05-09 13:51:00<br />
9:51 AM,55.9,44.1,64,29.98,10.0,SE,13.8,-,N/A,,Overcast,130,2016-05-09 14:51:00<br />
10:51 AM,57.0,44.1,62,29.98,10.0,SE,16.1,-,N/A,,Overcast,130,2016-05-09 15:51:00<br />
11:51 AM,57.9,45.0,62,29.98,10.0,SE,15.0,-,N/A,,Overcast,130,2016-05-09 16:51:00<br />
12:51 PM,57.0,45.0,64,29.98,10.0,ESE,17.3,25.3,N/A,,Overcast,110,2016-05-09 17:51:00<br />
1:51 PM,57.0,45.0,64,29.97,10.0,ESE,21.9,-,N/A,,Overcast,110,2016-05-09 18:51:00<br />
2:51 PM,57.9,45.0,62,29.96,10.0,ESE,20.7,-,N/A,,Overcast,110,2016-05-09 19:51:00<br />
3:21 PM,55.9,46.9,72,29.96,10.0,ESE,20.7,-,N/A,,Overcast,120,2016-05-09 20:21:00<br />
3:38 PM,55.0,46.9,74,29.95,10.0,SE,21.9,26.5,N/A,,Overcast,130,2016-05-09 20:38:00<br />
3:51 PM,54.0,46.0,75,29.96,10.0,ESE,19.6,28.8,N/A,,Overcast,120,2016-05-09 20:51:00<br />
4:17 PM,55.0,46.0,72,29.95,10.0,ESE,16.1,-,N/A,,Overcast,110,2016-05-09 21:17:00<br />
4:51 PM,54.0,46.9,77,29.94,10.0,ESE,16.1,-,0.00,,Overcast,110,2016-05-09 21:51:00<br />
5:24 PM,54.0,46.9,77,29.93,10.0,East,18.4,-,0.00,,Overcast,100,2016-05-09 22:24:00<br />
5:51 PM,54.0,46.9,77,29.93,10.0,East,15.0,-,0.00,,Overcast,100,2016-05-09 22:51:00<br />
6:39 PM,51.1,48.0,89,29.92,4.0,East,17.3,-,0.00,Rain,Light Rain,100,2016-05-09 23:39:00<br />
6:51 PM,51.1,48.9,92,29.92,3.0,East,17.3,-,0.01,Rain,Light Rain,100,2016-05-09 23:51:00<br />
7:01 PM,51.1,48.9,92,29.92,2.0,East,18.4,25.3,0.00,Rain,Light Rain,100,2016-05-10 00:01:00<br />
7:15 PM,51.1,48.9,92,29.91,1.2,East,13.8,24.2,0.01,Rain,Rain,90,2016-05-10 00:15:00<br />
7:23 PM,51.1,48.9,92,29.91,2.0,East,15.0,-,0.02,Rain,Light Rain,90,2016-05-10 00:23:00<br />
7:28 PM,51.1,48.9,92,29.91,3.0,East,15.0,-,0.03,Rain,Light Rain,90,2016-05-10 00:28:00<br />
7:51 PM,50.0,48.9,96,29.93,2.0,East,15.0,-,0.06,Rain,Light Rain,100,2016-05-10 00:51:00<br />
8:30 PM,50.0,48.9,96,29.91,4.0,East,15.0,-,0.20,Rain,Rain,100,2016-05-10 01:30:00<br />
8:40 PM,50.0,48.9,96,29.92,5.0,East,13.8,-,0.20,Rain,Light Rain,90,2016-05-10 01:40:00<br />
8:51 PM,50.0,48.9,96,29.93,7.0,East,11.5,-,0.21,Rain,Light Rain,90,2016-05-10 01:51:00<br />
9:12 PM,50.0,48.9,96,29.92,4.0,East,12.7,-,0.02,Rain,Rain,100,2016-05-10 02:12:00<br />
9:29 PM,50.0,48.9,96,29.92,5.0,East,11.5,-,0.05,Rain,Light Rain,90,2016-05-10 02:29:00<br />
9:41 PM,50.0,48.9,96,29.92,3.0,East,13.8,-,0.08,Rain,Heavy Rain,90,2016-05-10 02:41:00<br />
9:51 PM,50.0,48.9,96,29.93,4.0,East,12.7,-,0.10,Rain,Light Rain,90,2016-05-10 02:51:00<br />
10:40 PM,50.0,48.9,96,29.92,2.5,East,9.2,-,0.13,Rain,Heavy Rain,90,2016-05-10 03:40:00<br />
10:51 PM,50.0,48.9,96,29.91,2.5,East,10.4,-,0.15,Rain,Light Rain,90,2016-05-10 03:51:00<br />
11:04 PM,50.0,48.9,96,29.91,4.0,ESE,10.4,-,0.01,Rain,Light Rain,110,2016-05-10 04:04:00<br />
11:51 PM,51.1,51.1,100,29.91,2.5,East,10.4,-,0.02,Rain,Light Rain,90,2016-05-10 04:51:00<br />
