
TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,64.0,48.0,56,30.05,10.0,SW,4.6,-,N/A,,Partly Cloudy,230,2016-06-30 05:51:00<br />
1:51 AM,62.1,50.0,65,30.04,10.0,Calm,Calm,-,N/A,,Clear,0,2016-06-30 06:51:00<br />
2:51 AM,60.1,50.0,69,30.03,10.0,South,3.5,-,N/A,,Clear,190,2016-06-30 07:51:00<br />
3:51 AM,61.0,51.1,70,30.03,10.0,SW,4.6,-,N/A,,Clear,230,2016-06-30 08:51:00<br />
4:51 AM,61.0,52.0,72,30.04,10.0,WSW,6.9,-,N/A,,Partly Cloudy,240,2016-06-30 09:51:00<br />
5:51 AM,61.0,53.1,75,30.03,10.0,WSW,4.6,-,N/A,,Partly Cloudy,240,2016-06-30 10:51:00<br />
6:51 AM,64.0,54.0,70,30.03,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2016-06-30 11:51:00<br />
7:51 AM,70.0,53.1,55,30.04,10.0,SSW,6.9,-,N/A,,Scattered Clouds,200,2016-06-30 12:51:00<br />
8:51 AM,72.0,53.1,51,30.04,10.0,SSW,6.9,-,N/A,,Scattered Clouds,210,2016-06-30 13:51:00<br />
9:51 AM,75.0,51.1,43,30.03,10.0,SW,11.5,-,N/A,,Scattered Clouds,230,2016-06-30 14:51:00<br />
10:51 AM,74.1,50.5,43,30.02,-9999.0,North,-9999.0,-,N/A,,Unknown,0,2016-06-30 15:51:00<br />
11:03 AM,-9999,-9999,N/A,-9999,-9999.0,North,-9999.0,-,N/A,,Unknown,0,2016-06-30 16:03:00<br />
11:27 AM,75.0,51.1,43,30.02,10.0,SW,5.8,-,N/A,,Mostly Cloudy,220,2016-06-30 16:27:00<br />
11:51 AM,75.9,51.1,42,29.99,10.0,West,10.4,18.4,N/A,,Mostly Cloudy,260,2016-06-30 16:51:00<br />
12:51 PM,75.9,51.1,42,29.99,10.0,South,11.5,17.3,N/A,,Scattered Clouds,190,2016-06-30 17:51:00<br />
1:51 PM,77.0,51.1,40,29.96,10.0,South,11.5,-,N/A,,Scattered Clouds,190,2016-06-30 18:51:00<br />
2:51 PM,75.9,52.0,43,29.94,10.0,South,12.7,-,N/A,,Mostly Cloudy,190,2016-06-30 19:51:00<br />
3:51 PM,78.1,54.0,43,29.93,10.0,SW,11.5,-,N/A,,Mostly Cloudy,220,2016-06-30 20:51:00<br />
4:51 PM,75.0,54.0,48,29.93,10.0,WSW,8.1,-,N/A,,Mostly Cloudy,240,2016-06-30 21:51:00<br />
5:51 PM,75.9,53.1,45,29.91,10.0,SSW,10.4,-,N/A,,Mostly Cloudy,200,2016-06-30 22:51:00<br />
6:51 PM,75.9,55.0,48,29.90,10.0,WSW,8.1,-,N/A,,Mostly Cloudy,250,2016-06-30 23:51:00<br />
7:51 PM,73.9,55.9,53,29.91,10.0,SW,6.9,-,N/A,,Mostly Cloudy,220,2016-07-01 00:51:00<br />
8:51 PM,73.0,57.9,59,29.89,10.0,SW,5.8,-,N/A,,Mostly Cloudy,220,2016-07-01 01:51:00<br />
9:51 PM,72.0,57.9,61,29.91,10.0,SW,9.2,-,N/A,,Mostly Cloudy,230,2016-07-01 02:51:00<br />
10:51 PM,71.1,59.0,66,29.89,10.0,WSW,6.9,-,0.00,,Overcast,240,2016-07-01 03:51:00<br />
11:51 PM,70.0,60.1,71,29.89,10.0,West,6.9,-,N/A,,Mostly Cloudy,270,2016-07-01 04:51:00<br />
