
TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,33.1,19.0,56,30.12,10.0,SSE,16.1,-,N/A,,Overcast,150,2016-04-10 05:51:00<br />
1:51 AM,33.1,21.0,61,30.09,10.0,SSE,18.4,25.3,0.00,Snow,Light Snow,160,2016-04-10 06:51:00<br />
2:51 AM,33.1,21.9,64,30.06,10.0,SSE,18.4,-,0.00,Snow,Light Snow,160,2016-04-10 07:51:00<br />
3:51 AM,34.0,21.9,61,30.04,10.0,SSE,18.4,23.0,0.00,Snow,Light Snow,150,2016-04-10 08:51:00<br />
4:38 AM,33.1,24.1,70,29.99,7.0,SSE,19.6,26.5,0.01,Snow,Light Snow,150,2016-04-10 09:38:00<br />
4:51 AM,33.1,25.0,72,30.00,7.0,SSE,17.3,-,0.02,Snow,Light Snow,150,2016-04-10 09:51:00<br />
5:30 AM,33.1,25.0,72,29.95,10.0,SSE,15.0,-,0.01,,Overcast,150,2016-04-10 10:30:00<br />
5:51 AM,33.1,25.0,72,29.97,10.0,SSE,13.8,-,0.01,,Overcast,160,2016-04-10 10:51:00<br />
6:51 AM,34.0,26.1,73,29.95,10.0,South,15.0,23.0,N/A,,Overcast,170,2016-04-10 11:51:00<br />
7:51 AM,35.1,26.1,70,29.94,10.0,South,17.3,25.3,N/A,,Overcast,170,2016-04-10 12:51:00<br />
8:51 AM,36.0,28.0,73,29.90,10.0,South,15.0,20.7,0.02,,Mostly Cloudy,170,2016-04-10 13:51:00<br />
9:51 AM,39.9,28.0,63,29.88,10.0,South,19.6,28.8,N/A,,Overcast,180,2016-04-10 14:51:00<br />
10:51 AM,41.0,28.9,62,29.86,10.0,South,16.1,25.3,N/A,,Overcast,180,2016-04-10 15:51:00<br />
11:51 AM,42.1,32.0,67,29.83,10.0,South,17.3,-,0.01,,Overcast,180,2016-04-10 16:51:00<br />
12:51 PM,44.1,35.1,71,29.80,9.0,SSW,20.7,27.6,N/A,,Overcast,200,2016-04-10 17:51:00<br />
1:43 PM,45.0,39.0,80,29.77,10.0,South,23.0,28.8,0.00,Rain,Light Rain,190,2016-04-10 18:43:00<br />
1:51 PM,44.1,39.0,82,29.79,10.0,South,23.0,31.1,0.00,Rain,Light Rain,190,2016-04-10 18:51:00<br />
2:02 PM,44.1,39.9,85,29.77,10.0,South,18.4,26.5,0.00,Rain,Light Rain,190,2016-04-10 19:02:00<br />
2:24 PM,44.1,39.9,85,29.76,5.0,SSW,18.4,26.5,0.00,,Overcast,200,2016-04-10 19:24:00<br />
2:38 PM,44.1,39.9,85,29.76,2.0,SSW,20.7,25.3,0.00,,Light Drizzle,200,2016-04-10 19:38:00<br />
2:51 PM,43.0,41.0,93,29.77,2.0,SSW,16.1,26.5,0.01,Rain,Light Rain,210,2016-04-10 19:51:00<br />
3:30 PM,44.1,42.1,93,29.73,2.0,SSW,16.1,24.2,0.01,Rain,Light Rain,200,2016-04-10 20:30:00<br />
3:51 PM,44.1,42.1,93,29.74,2.0,SSW,15.0,-,0.02,Rain,Light Rain,200,2016-04-10 20:51:00<br />
4:51 PM,46.0,44.1,93,29.73,5.0,SSW,13.8,-,0.00,Rain,Light Rain,200,2016-04-10 21:51:00<br />
5:51 PM,46.9,45.0,93,29.73,7.0,SSW,12.7,-,0.00,Rain,Light Rain,210,2016-04-10 22:51:00<br />
6:51 PM,46.9,46.0,97,29.74,3.0,SW,10.4,-,0.00,,Light Drizzle,220,2016-04-10 23:51:00<br />
7:23 PM,46.9,46.0,97,29.73,2.5,SW,9.2,-,0.00,,Light Drizzle,230,2016-04-11 00:23:00<br />
7:51 PM,46.9,46.0,97,29.74,2.5,SW,9.2,-,0.00,,Light Drizzle,220,2016-04-11 00:51:00<br />
8:09 PM,48.0,46.0,93,29.73,4.0,SSW,9.2,-,0.00,,Light Drizzle,210,2016-04-11 01:09:00<br />
8:40 PM,48.0,46.9,96,29.73,5.0,WSW,8.1,-,0.00,Rain,Light Rain,240,2016-04-11 01:40:00<br />
8:51 PM,48.0,46.9,96,29.75,5.0,SW,9.2,-,0.00,Rain,Light Rain,230,2016-04-11 01:51:00<br />
9:51 PM,48.9,48.0,97,29.76,6.0,WSW,11.5,-,0.00,,Overcast,240,2016-04-11 02:51:00<br />
10:51 PM,50.0,48.0,93,29.75,5.0,WSW,11.5,-,N/A,,Overcast,240,2016-04-11 03:51:00<br />
10:57 PM,50.0,48.0,93,29.75,4.0,WSW,9.2,-,0.01,Rain,Light Rain,240,2016-04-11 03:57:00<br />
11:18 PM,50.0,48.9,96,29.74,5.0,SW,9.2,-,0.01,,Overcast,220,2016-04-11 04:18:00<br />
11:51 PM,50.0,48.9,96,29.75,5.0,West,10.4,-,0.01,,Overcast,260,2016-04-11 04:51:00<br />
11:53 PM,50.0,48.9,96,29.74,4.0,West,8.1,-,N/A,,Overcast,260,2016-04-11 04:53:00<br />
