
TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,69.1,64.9,87,29.85,10.0,South,10.4,-,N/A,,Mostly Cloudy,180,2016-05-28 05:51:00<br />
1:51 AM,68.0,64.9,90,29.85,10.0,SSE,8.1,-,N/A,,Mostly Cloudy,160,2016-05-28 06:51:00<br />
2:51 AM,68.0,64.9,90,29.84,10.0,SSE,8.1,-,N/A,,Mostly Cloudy,160,2016-05-28 07:51:00<br />
3:51 AM,68.0,64.0,87,29.84,10.0,SSE,8.1,-,N/A,,Scattered Clouds,160,2016-05-28 08:51:00<br />
4:51 AM,69.1,64.0,84,29.84,10.0,South,11.5,-,N/A,,Mostly Cloudy,170,2016-05-28 09:51:00<br />
5:51 AM,70.0,64.0,81,29.84,10.0,South,17.3,-,N/A,,Overcast,190,2016-05-28 10:51:00<br />
6:17 AM,70.0,64.0,81,29.86,10.0,South,16.1,-,0.00,,Overcast,190,2016-05-28 11:17:00<br />
6:43 AM,70.0,64.9,84,29.87,10.0,South,15.0,-,0.00,,Overcast,190,2016-05-28 11:43:00<br />
6:51 AM,70.0,64.9,84,29.86,10.0,SSW,12.7,21.9,0.00,,Mostly Cloudy,200,2016-05-28 11:51:00<br />
7:16 AM,71.1,64.9,81,29.88,10.0,South,18.4,26.5,N/A,,Overcast,190,2016-05-28 12:16:00<br />
7:51 AM,71.1,64.9,81,29.87,10.0,South,16.1,24.2,N/A,,Overcast,190,2016-05-28 12:51:00<br />
8:30 AM,71.1,64.9,81,29.89,10.0,SSW,16.1,24.2,N/A,,Mostly Cloudy,200,2016-05-28 13:30:00<br />
8:51 AM,72.0,64.9,78,29.88,10.0,SSW,15.0,25.3,N/A,,Overcast,200,2016-05-28 13:51:00<br />
8:58 AM,72.0,64.9,78,29.89,10.0,SSW,17.3,-,N/A,,Overcast,200,2016-05-28 13:58:00<br />
9:38 AM,73.9,64.9,73,29.90,10.0,SSW,17.3,-,N/A,,Mostly Cloudy,200,2016-05-28 14:38:00<br />
9:46 AM,73.4,64.4,73,29.90,10.0,SSW,17.3,-,N/A,,Mostly Cloudy,200,2016-05-28 14:46:00<br />
9:51 AM,73.9,64.9,73,29.89,10.0,SSW,15.0,24.2,N/A,,Mostly Cloudy,200,2016-05-28 14:51:00<br />
10:51 AM,75.0,64.9,71,29.90,10.0,South,19.6,26.5,N/A,,Mostly Cloudy,190,2016-05-28 15:51:00<br />
11:51 AM,73.9,64.0,71,29.91,10.0,South,15.0,28.8,N/A,,Overcast,190,2016-05-28 16:51:00<br />
12:51 PM,75.0,64.9,71,29.91,10.0,SSW,16.1,21.9,N/A,,Overcast,210,2016-05-28 17:51:00<br />
1:51 PM,77.0,64.9,66,29.91,10.0,SSW,16.1,25.3,N/A,,Overcast,200,2016-05-28 18:51:00<br />
2:51 PM,78.1,64.9,64,29.89,10.0,South,19.6,25.3,N/A,,Mostly Cloudy,180,2016-05-28 19:51:00<br />
3:51 PM,79.0,64.9,62,29.88,10.0,South,15.0,26.5,N/A,,Mostly Cloudy,190,2016-05-28 20:51:00<br />
4:51 PM,80.1,66.0,62,29.87,10.0,South,15.0,26.5,N/A,,Scattered Clouds,170,2016-05-28 21:51:00<br />
5:51 PM,81.0,66.0,60,29.86,10.0,South,19.6,27.6,N/A,,Scattered Clouds,180,2016-05-28 22:51:00<br />
6:51 PM,79.0,64.0,60,29.87,10.0,South,21.9,29.9,N/A,,Mostly Cloudy,180,2016-05-28 23:51:00<br />
7:51 PM,77.0,64.0,64,29.87,10.0,South,16.1,26.5,N/A,,Mostly Cloudy,170,2016-05-29 00:51:00<br />
8:51 PM,77.0,63.0,62,29.86,10.0,South,19.6,26.5,N/A,,Mostly Cloudy,170,2016-05-29 01:51:00<br />
9:51 PM,75.0,61.0,62,29.93,10.0,West,16.1,24.2,N/A,,Mostly Cloudy,280,2016-05-29 02:51:00<br />
10:03 PM,71.1,59.0,66,29.95,10.0,West,16.1,20.7,N/A,,Mostly Cloudy,280,2016-05-29 03:03:00<br />
10:47 PM,66.2,62.6,88,29.96,6.0,West,15.0,27.6,0.01,Thunderstorm,Mostly Cloudy,270,2016-05-29 03:47:00<br />
10:51 PM,64.9,63.0,93,29.95,3.0,WNW,13.8,-,0.05,Thunderstorm,Mostly Cloudy,300,2016-05-29 03:51:00<br />
11:02 PM,64.9,63.0,93,29.95,8.0,South,6.9,-,0.05,,Mostly Cloudy,190,2016-05-29 04:02:00<br />
11:51 PM,66.0,63.0,90,29.95,10.0,South,5.8,-,0.05,,Mostly Cloudy,190,2016-05-29 04:51:00<br />
