
TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,70.0,57.0,63,30.07,10.0,North,4.6,-,N/A,,Mostly Cloudy,360,2016-06-28 05:51:00<br />
1:51 AM,66.9,61.0,81,30.07,10.0,NE,17.3,-,N/A,,Mostly Cloudy,40,2016-06-28 06:51:00<br />
2:03 AM,66.9,60.1,79,30.09,10.0,NNE,11.5,-,N/A,,Overcast,30,2016-06-28 07:03:00<br />
2:20 AM,66.0,57.9,75,30.09,10.0,NNE,13.8,-,N/A,,Mostly Cloudy,30,2016-06-28 07:20:00<br />
2:51 AM,66.0,57.9,75,30.08,10.0,NNE,11.5,-,N/A,,Scattered Clouds,30,2016-06-28 07:51:00<br />
3:42 AM,64.9,57.9,78,30.10,10.0,NNE,12.7,20.7,N/A,,Mostly Cloudy,30,2016-06-28 08:42:00<br />
3:51 AM,64.9,57.9,78,30.09,10.0,NNE,11.5,-,N/A,,Mostly Cloudy,30,2016-06-28 08:51:00<br />
4:18 AM,64.0,57.0,78,30.11,10.0,NNE,12.7,-,N/A,,Overcast,20,2016-06-28 09:18:00<br />
4:36 AM,64.0,57.0,78,30.12,10.0,NNE,13.8,-,N/A,,Mostly Cloudy,30,2016-06-28 09:36:00<br />
4:51 AM,64.0,57.0,78,30.11,10.0,NE,12.7,-,N/A,,Mostly Cloudy,40,2016-06-28 09:51:00<br />
5:51 AM,63.0,55.9,78,30.12,10.0,NNE,12.7,-,N/A,,Mostly Cloudy,30,2016-06-28 10:51:00<br />
6:51 AM,63.0,55.0,75,30.14,10.0,NNE,10.4,-,N/A,,Mostly Cloudy,20,2016-06-28 11:51:00<br />
7:51 AM,64.9,55.0,70,30.14,10.0,NNE,8.1,-,N/A,,Mostly Cloudy,30,2016-06-28 12:51:00<br />
8:51 AM,64.9,53.1,65,30.16,10.0,North,11.5,-,N/A,,Overcast,360,2016-06-28 13:51:00<br />
9:05 AM,64.9,53.1,65,30.16,10.0,North,11.5,-,N/A,,Overcast,360,2016-06-28 14:05:00<br />
9:51 AM,66.0,53.1,63,30.15,10.0,NNE,12.7,-,N/A,,Overcast,20,2016-06-28 14:51:00<br />
10:51 AM,64.9,53.1,65,30.16,10.0,North,12.7,-,N/A,,Overcast,360,2016-06-28 15:51:00<br />
11:25 AM,64.9,51.1,61,30.18,10.0,North,10.4,-,N/A,,Overcast,10,2016-06-28 16:25:00<br />
11:51 AM,64.0,52.0,65,30.18,10.0,NNE,13.8,-,N/A,,Overcast,30,2016-06-28 16:51:00<br />
12:51 PM,66.0,51.1,59,30.18,10.0,NE,17.3,-,N/A,,Overcast,40,2016-06-28 17:51:00<br />
1:51 PM,68.0,51.1,55,30.17,10.0,NNE,9.2,17.3,N/A,,Mostly Cloudy,20,2016-06-28 18:51:00<br />
2:51 PM,69.1,51.1,53,30.16,10.0,NE,13.8,19.6,N/A,,Scattered Clouds,40,2016-06-28 19:51:00<br />
3:51 PM,70.0,36.0,29,30.17,10.0,NE,17.3,23.0,N/A,,Scattered Clouds,40,2016-06-28 20:51:00<br />
4:51 PM,70.0,37.0,30,30.15,10.0,NNE,15.0,-,N/A,,Partly Cloudy,30,2016-06-28 21:51:00<br />
5:51 PM,70.0,46.0,42,30.13,10.0,NNE,10.4,-,N/A,,Partly Cloudy,20,2016-06-28 22:51:00<br />
6:51 PM,66.9,50.0,54,30.14,10.0,NE,11.5,-,N/A,,Partly Cloudy,50,2016-06-28 23:51:00<br />
7:51 PM,64.9,51.1,61,30.13,10.0,NE,10.4,-,N/A,,Partly Cloudy,50,2016-06-29 00:51:00<br />
8:51 PM,64.0,48.0,56,30.12,10.0,NE,8.1,-,N/A,,Partly Cloudy,40,2016-06-29 01:51:00<br />
9:51 PM,63.0,50.0,63,30.12,10.0,North,3.5,-,N/A,,Partly Cloudy,10,2016-06-29 02:51:00<br />
10:51 PM,62.1,51.1,67,30.12,10.0,North,4.6,-,N/A,,Clear,360,2016-06-29 03:51:00<br />
11:51 PM,61.0,52.0,72,30.12,10.0,North,3.5,-,N/A,,Clear,360,2016-06-29 04:51:00<br />
