
TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,73.0,59.0,61,29.95,10.0,South,9.2,-,N/A,,Overcast,190,2016-05-25 05:51:00<br />
1:51 AM,73.0,60.1,64,29.97,10.0,SSW,11.5,-,N/A,,Mostly Cloudy,200,2016-05-25 06:51:00<br />
2:51 AM,71.1,61.0,70,29.97,10.0,SSW,8.1,-,N/A,,Mostly Cloudy,210,2016-05-25 07:51:00<br />
3:51 AM,70.0,61.0,73,29.97,10.0,SSW,6.9,-,N/A,,Mostly Cloudy,210,2016-05-25 08:51:00<br />
4:51 AM,64.0,60.1,87,29.96,10.0,South,3.5,-,N/A,,Scattered Clouds,170,2016-05-25 09:51:00<br />
5:51 AM,64.0,60.1,87,29.96,10.0,South,6.9,-,N/A,,Mostly Cloudy,170,2016-05-25 10:51:00<br />
6:51 AM,69.1,61.0,75,29.99,10.0,South,8.1,-,N/A,,Scattered Clouds,190,2016-05-25 11:51:00<br />
7:51 AM,72.0,63.0,73,30.00,10.0,SSW,6.9,-,N/A,,Scattered Clouds,200,2016-05-25 12:51:00<br />
8:51 AM,75.9,64.0,67,29.99,10.0,South,8.1,-,N/A,,Mostly Cloudy,180,2016-05-25 13:51:00<br />
9:51 AM,77.0,64.9,66,29.99,10.0,South,11.5,-,N/A,,Mostly Cloudy,180,2016-05-25 14:51:00<br />
10:51 AM,78.1,64.9,64,29.97,10.0,South,8.1,-,N/A,,Mostly Cloudy,190,2016-05-25 15:51:00<br />
11:51 AM,80.1,64.9,60,29.98,10.0,SSE,10.4,-,N/A,,Mostly Cloudy,160,2016-05-25 16:51:00<br />
12:51 PM,81.0,62.1,52,29.95,10.0,SSE,9.2,-,N/A,,Overcast,150,2016-05-25 17:51:00<br />
1:51 PM,84.0,62.1,47,29.92,10.0,SSE,9.2,-,N/A,,Mostly Cloudy,150,2016-05-25 18:51:00<br />
2:51 PM,82.9,60.1,46,29.91,10.0,South,10.4,-,N/A,,Mostly Cloudy,170,2016-05-25 19:51:00<br />
3:51 PM,84.9,61.0,44,29.87,10.0,SSE,11.5,18.4,N/A,,Mostly Cloudy,150,2016-05-25 20:51:00<br />
4:51 PM,82.0,57.9,44,29.86,10.0,SSE,10.4,-,N/A,Thunderstorm,Thunderstorm,160,2016-05-25 21:51:00<br />
5:16 PM,79.0,61.0,54,29.90,6.0,SW,20.7,39.1,0.00,Rain-Thunderstorm,Light Thunderstorms and Rain,220,2016-05-25 22:16:00<br />
5:33 PM,69.1,64.9,87,29.93,3.0,SSW,23.0,29.9,0.02,Rain-Thunderstorm,Thunderstorms and Rain,210,2016-05-25 22:33:00<br />
5:36 PM,69.1,64.9,87,29.93,1.8,SSW,26.5,35.7,0.05,Rain-Thunderstorm,Heavy Thunderstorms and Rain,200,2016-05-25 22:36:00<br />
5:40 PM,69.1,64.9,87,29.93,1.8,SSW,21.9,35.7,0.09,Rain-Thunderstorm,Heavy Thunderstorms and Rain,210,2016-05-25 22:40:00<br />
5:49 PM,69.8,64.4,83,29.92,3.0,South,13.8,33.4,0.19,Rain-Thunderstorm,Thunderstorms and Rain,190,2016-05-25 22:49:00<br />
5:51 PM,68.0,64.0,87,29.91,4.0,South,16.1,33.4,0.20,Rain-Thunderstorm,Thunderstorms and Rain,190,2016-05-25 22:51:00<br />
5:59 PM,68.0,64.9,90,29.90,6.0,South,6.9,-,0.01,Rain-Thunderstorm,Light Thunderstorms and Rain,190,2016-05-25 22:59:00<br />
6:23 PM,69.1,64.9,87,29.93,3.0,South,10.4,-,0.06,Rain-Thunderstorm,Light Thunderstorms and Rain,190,2016-05-25 23:23:00<br />
6:26 PM,68.0,64.9,90,29.93,1.8,ESE,10.4,-,0.15,Rain-Thunderstorm,Heavy Thunderstorms and Rain,120,2016-05-25 23:26:00<br />
6:32 PM,66.0,64.0,93,29.92,2.0,SE,8.1,-,0.29,Rain-Thunderstorm,Heavy Thunderstorms and Rain,130,2016-05-25 23:32:00<br />
6:38 PM,66.0,63.0,90,29.95,5.0,South,9.2,-,0.32,Rain-Thunderstorm,Thunderstorms and Rain,170,2016-05-25 23:38:00<br />
6:41 PM,66.0,63.0,90,29.94,3.0,South,9.2,-,0.34,Rain-Thunderstorm,Heavy Thunderstorms and Rain,190,2016-05-25 23:41:00<br />
6:44 PM,66.0,64.0,93,29.94,2.0,Variable,4.6,-,0.43,Rain-Thunderstorm,Heavy Thunderstorms and Rain,0,2016-05-25 23:44:00<br />
6:51 PM,64.9,64.0,97,29.91,2.0,ESE,11.5,-,0.59,Rain-Thunderstorm,Heavy Thunderstorms and Rain,120,2016-05-25 23:51:00<br />
6:56 PM,66.9,64.0,90,29.92,5.0,ESE,10.4,-,0.04,Rain-Thunderstorm,Light Thunderstorms and Rain,110,2016-05-25 23:56:00<br />
7:28 PM,66.9,64.0,90,29.91,9.0,NE,8.1,-,0.07,Rain,Light Rain,50,2016-05-26 00:28:00<br />
7:51 PM,68.0,64.0,87,29.90,9.0,ENE,10.4,-,0.10,Rain,Light Rain,60,2016-05-26 00:51:00<br />
8:04 PM,68.0,64.9,90,29.92,10.0,ENE,12.7,-,0.01,Rain-Thunderstorm,Light Thunderstorms and Rain,70,2016-05-26 01:04:00<br />
8:51 PM,66.9,64.9,93,29.93,10.0,NNW,12.7,-,0.05,Rain-Thunderstorm,Light Thunderstorms and Rain,340,2016-05-26 01:51:00<br />
9:11 PM,66.9,64.9,93,29.93,10.0,ENE,6.9,-,0.00,,Overcast,70,2016-05-26 02:11:00<br />
9:51 PM,68.0,64.9,90,29.92,10.0,ENE,4.6,-,0.00,Rain,Light Rain,70,2016-05-26 02:51:00<br />
10:27 PM,66.9,64.9,93,29.94,10.0,NE,8.1,-,0.01,,Overcast,50,2016-05-26 03:27:00<br />
10:41 PM,66.9,64.9,93,29.95,10.0,ESE,4.6,-,0.01,,Overcast,110,2016-05-26 03:41:00<br />
10:51 PM,66.9,64.9,93,29.94,10.0,ESE,8.1,-,0.01,,Overcast,110,2016-05-26 03:51:00<br />
11:51 PM,66.0,64.9,96,29.93,6.0,SE,13.8,-,N/A,,Overcast,130,2016-05-26 04:51:00<br />
