
TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:36 AM,46.0,41.0,83,29.83,7.0,NE,8.1,-,0.06,Rain,Light Rain,50,2016-04-28 05:36:00<br />
12:51 AM,46.0,41.0,83,29.83,3.0,ENE,12.7,-,0.13,Rain-Thunderstorm,Thunderstorms and Rain,60,2016-04-28 05:51:00<br />
12:59 AM,45.0,41.0,86,29.83,1.8,ENE,11.5,-,0.06,Rain-Thunderstorm,Heavy Thunderstorms and Rain,60,2016-04-28 05:59:00<br />
1:13 AM,45.0,41.0,86,29.83,2.5,ENE,8.1,-,0.28,Rain,Heavy Rain,70,2016-04-28 06:13:00<br />
1:30 AM,44.1,42.1,93,29.82,4.0,ENE,11.5,-,0.41,Rain,Light Rain,60,2016-04-28 06:30:00<br />
1:37 AM,44.1,42.1,93,29.82,9.0,ENE,10.4,-,0.41,Rain,Light Rain,60,2016-04-28 06:37:00<br />
1:51 AM,44.1,42.1,93,29.83,5.0,NE,11.5,-,0.41,Rain,Light Rain,50,2016-04-28 06:51:00<br />
2:28 AM,44.1,42.1,93,29.83,8.0,NE,12.7,-,0.01,Rain,Light Rain,50,2016-04-28 07:28:00<br />
2:51 AM,44.1,42.1,93,29.83,5.0,NE,13.8,-,0.01,Rain,Light Rain,50,2016-04-28 07:51:00<br />
3:20 AM,43.0,41.0,93,29.81,5.0,NE,15.0,-,0.04,Rain,Light Rain,50,2016-04-28 08:20:00<br />
3:27 AM,43.0,42.1,97,29.81,3.0,NE,12.7,-,0.04,Rain,Light Rain,50,2016-04-28 08:27:00<br />
3:36 AM,43.0,42.1,97,29.85,2.5,NNE,6.9,-,0.04,Rain,Light Rain,30,2016-04-28 08:36:00<br />
3:51 AM,43.0,42.1,97,29.86,2.5,NNE,8.1,-,0.06,Rain,Light Rain,20,2016-04-28 08:51:00<br />
3:59 AM,43.0,42.1,97,29.85,3.0,NE,11.5,-,0.01,Rain,Light Rain,40,2016-04-28 08:59:00<br />
4:10 AM,43.0,42.1,97,29.84,6.0,NE,10.4,-,0.01,Rain,Light Rain,40,2016-04-28 09:10:00<br />
4:24 AM,43.0,42.1,97,29.82,4.0,NE,16.1,-,0.02,Rain,Light Rain,50,2016-04-28 09:24:00<br />
4:36 AM,43.0,42.1,97,29.80,7.0,ENE,18.4,-,0.02,Rain,Light Rain,60,2016-04-28 09:36:00<br />
4:51 AM,43.0,42.1,97,29.82,8.0,East,16.1,23.0,0.02,,Mostly Cloudy,80,2016-04-28 09:51:00<br />
5:51 AM,43.0,41.0,93,29.82,8.0,ENE,13.8,-,N/A,,Overcast,70,2016-04-28 10:51:00<br />
6:51 AM,44.1,41.0,89,29.83,8.0,ENE,12.7,-,N/A,,Overcast,60,2016-04-28 11:51:00<br />
7:51 AM,44.1,41.0,89,29.85,10.0,NE,11.5,-,N/A,,Overcast,50,2016-04-28 12:51:00<br />
8:10 AM,44.1,41.0,89,29.84,10.0,ENE,11.5,-,N/A,,Overcast,60,2016-04-28 13:10:00<br />
8:51 AM,44.1,39.9,85,29.87,10.0,ENE,11.5,-,N/A,,Overcast,60,2016-04-28 13:51:00<br />
9:51 AM,45.0,39.9,82,29.88,10.0,ENE,11.5,-,N/A,,Overcast,60,2016-04-28 14:51:00<br />
10:51 AM,44.1,39.0,82,29.90,10.0,NE,11.5,21.9,N/A,,Overcast,50,2016-04-28 15:51:00<br />
11:51 AM,45.0,41.0,86,29.89,10.0,NE,12.7,-,N/A,,Overcast,50,2016-04-28 16:51:00<br />
12:51 PM,46.0,42.1,86,29.91,9.0,ENE,9.2,-,N/A,,Overcast,60,2016-04-28 17:51:00<br />
1:51 PM,48.0,41.0,77,29.91,10.0,ENE,11.5,-,N/A,,Overcast,70,2016-04-28 18:51:00<br />
1:58 PM,48.0,41.0,77,29.89,10.0,ENE,10.4,-,N/A,,Overcast,70,2016-04-28 18:58:00<br />
