
TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,59.0,46.0,62,30.10,10.0,NE,6.9,-,N/A,,Mostly Cloudy,40,2016-06-13 05:51:00<br />
1:51 AM,57.9,46.9,67,30.09,10.0,North,3.5,-,N/A,,Mostly Cloudy,10,2016-06-13 06:51:00<br />
2:51 AM,57.9,48.0,70,30.06,10.0,NNE,3.5,-,N/A,,Mostly Cloudy,30,2016-06-13 07:51:00<br />
3:51 AM,57.9,48.0,70,30.04,10.0,NE,5.8,-,N/A,,Mostly Cloudy,40,2016-06-13 08:51:00<br />
4:51 AM,55.0,48.9,80,30.05,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2016-06-13 09:51:00<br />
5:51 AM,55.9,51.1,84,30.06,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2016-06-13 10:51:00<br />
6:51 AM,61.0,50.0,67,30.06,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2016-06-13 11:51:00<br />
7:51 AM,64.9,50.0,58,30.06,10.0,South,8.1,-,N/A,,Mostly Cloudy,180,2016-06-13 12:51:00<br />
8:51 AM,69.1,48.9,49,30.04,10.0,South,8.1,-,N/A,,Mostly Cloudy,180,2016-06-13 13:51:00<br />
9:51 AM,72.0,50.0,46,30.03,10.0,South,6.9,-,N/A,,Mostly Cloudy,180,2016-06-13 14:51:00<br />
10:51 AM,75.0,48.9,40,30.02,10.0,Variable,4.6,-,N/A,,Mostly Cloudy,0,2016-06-13 15:51:00<br />
11:51 AM,78.1,46.9,33,30.00,10.0,WSW,5.8,-,N/A,,Mostly Cloudy,250,2016-06-13 16:51:00<br />
12:51 PM,80.1,51.1,36,29.97,10.0,SSW,3.5,-,N/A,,Mostly Cloudy,200,2016-06-13 17:51:00<br />
1:51 PM,80.1,59.0,48,29.94,10.0,Variable,3.5,-,0.02,,Mostly Cloudy,0,2016-06-13 18:51:00<br />
2:51 PM,81.0,59.0,47,29.92,10.0,Variable,5.8,-,0.00,,Mostly Cloudy,0,2016-06-13 19:51:00<br />
3:51 PM,82.9,61.0,47,29.90,10.0,East,3.5,-,N/A,,Scattered Clouds,80,2016-06-13 20:51:00<br />
4:51 PM,84.9,57.9,40,29.88,10.0,East,5.8,-,N/A,,Scattered Clouds,90,2016-06-13 21:51:00<br />
5:51 PM,84.0,57.9,41,29.88,10.0,NE,13.8,-,N/A,,Scattered Clouds,40,2016-06-13 22:51:00<br />
6:51 PM,75.9,54.0,46,29.88,10.0,NE,9.2,-,N/A,,Mostly Cloudy,50,2016-06-13 23:51:00<br />
7:51 PM,75.0,51.1,43,29.87,10.0,ENE,8.1,-,N/A,,Mostly Cloudy,60,2016-06-14 00:51:00<br />
8:51 PM,73.0,50.0,44,29.88,10.0,ENE,5.8,-,N/A,,Scattered Clouds,60,2016-06-14 01:51:00<br />
9:51 PM,71.1,48.0,44,29.89,10.0,ENE,6.9,-,N/A,,Overcast,60,2016-06-14 02:51:00<br />
10:51 PM,69.1,51.1,53,29.89,10.0,Variable,4.6,-,N/A,,Mostly Cloudy,0,2016-06-14 03:51:00<br />
11:51 PM,68.0,53.1,59,29.90,10.0,Calm,Calm,-,N/A,,Overcast,0,2016-06-14 04:51:00<br />
