
TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,54.0,46.9,77,30.01,10.0,SE,5.8,-,N/A,,Mostly Cloudy,140,2016-06-09 05:51:00<br />
1:51 AM,54.0,46.9,77,30.01,10.0,SE,5.8,-,N/A,,Mostly Cloudy,140,2016-06-09 06:51:00<br />
2:51 AM,53.1,48.0,83,30.01,10.0,SE,6.9,-,N/A,,Mostly Cloudy,140,2016-06-09 07:51:00<br />
3:51 AM,54.0,48.0,80,30.01,10.0,SE,6.9,-,N/A,,Mostly Cloudy,140,2016-06-09 08:51:00<br />
4:51 AM,57.0,48.0,72,30.01,10.0,SE,5.8,-,N/A,,Mostly Cloudy,140,2016-06-09 09:51:00<br />
5:51 AM,57.9,46.9,67,30.01,10.0,SSE,6.9,-,N/A,,Mostly Cloudy,160,2016-06-09 10:51:00<br />
6:51 AM,60.1,46.9,62,30.03,10.0,SSE,5.8,-,N/A,,Overcast,160,2016-06-09 11:51:00<br />
7:51 AM,63.0,48.0,58,30.01,10.0,South,8.1,-,N/A,,Overcast,180,2016-06-09 12:51:00<br />
8:51 AM,64.0,48.9,58,30.02,10.0,South,5.8,-,N/A,,Overcast,190,2016-06-09 13:51:00<br />
9:51 AM,66.9,50.0,54,30.01,10.0,South,8.1,-,N/A,,Overcast,190,2016-06-09 14:51:00<br />
10:51 AM,66.0,51.1,59,30.01,10.0,South,10.4,-,N/A,,Overcast,190,2016-06-09 15:51:00<br />
11:51 AM,66.9,55.0,66,30.02,10.0,WSW,9.2,-,0.00,Rain,Light Rain,250,2016-06-09 16:51:00<br />
12:51 PM,66.0,60.1,81,30.01,10.0,Variable,4.6,-,0.01,Rain,Light Rain,0,2016-06-09 17:51:00<br />
1:51 PM,64.9,61.0,87,29.98,10.0,SW,5.8,-,0.01,Rain,Light Rain,230,2016-06-09 18:51:00<br />
2:51 PM,64.9,62.1,90,30.00,7.0,West,5.8,-,0.03,Rain,Rain,280,2016-06-09 19:51:00<br />
2:56 PM,64.9,61.0,87,29.99,4.0,WSW,5.8,-,0.01,Rain,Rain,250,2016-06-09 19:56:00<br />
3:10 PM,64.9,62.1,90,29.99,7.0,WSW,4.6,-,0.04,Rain,Light Rain,250,2016-06-09 20:10:00<br />
3:51 PM,64.9,63.0,93,29.96,9.0,South,6.9,-,0.09,Rain,Light Rain,180,2016-06-09 20:51:00<br />
4:51 PM,66.9,63.0,87,29.94,10.0,SSW,8.1,-,0.00,,Mostly Cloudy,200,2016-06-09 21:51:00<br />
5:51 PM,70.0,63.0,78,29.94,10.0,South,3.5,-,N/A,,Mostly Cloudy,190,2016-06-09 22:51:00<br />
6:51 PM,71.1,62.1,73,29.93,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2016-06-09 23:51:00<br />
7:51 PM,70.0,63.0,78,29.92,10.0,ESE,3.5,-,N/A,,Mostly Cloudy,120,2016-06-10 00:51:00<br />
8:51 PM,68.0,62.1,81,29.92,10.0,East,10.4,-,N/A,,Mostly Cloudy,80,2016-06-10 01:51:00<br />
9:51 PM,64.0,60.1,87,29.94,10.0,East,8.1,-,N/A,,Mostly Cloudy,90,2016-06-10 02:51:00<br />
10:51 PM,64.9,60.1,84,29.95,10.0,ENE,6.9,-,0.00,Rain,Light Rain,60,2016-06-10 03:51:00<br />
11:51 PM,64.9,60.1,84,29.95,9.0,ENE,3.5,-,0.01,Rain,Light Rain,70,2016-06-10 04:51:00<br />
