
TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,66.9,54.0,63,29.88,10.0,NE,4.6,-,N/A,,Overcast,50,2016-06-14 05:51:00<br />
1:51 AM,66.9,54.0,63,29.87,10.0,North,6.9,-,N/A,,Overcast,10,2016-06-14 06:51:00<br />
2:51 AM,66.0,54.0,65,29.87,10.0,North,4.6,-,N/A,,Overcast,360,2016-06-14 07:51:00<br />
3:51 AM,64.0,55.0,73,29.87,10.0,NNE,5.8,-,N/A,,Overcast,20,2016-06-14 08:51:00<br />
4:51 AM,64.0,55.9,75,29.88,10.0,NNW,6.9,-,N/A,,Overcast,340,2016-06-14 09:51:00<br />
5:51 AM,64.9,57.0,75,29.88,10.0,North,4.6,-,N/A,,Mostly Cloudy,10,2016-06-14 10:51:00<br />
6:51 AM,66.0,57.9,75,29.88,10.0,NNE,5.8,-,N/A,,Mostly Cloudy,20,2016-06-14 11:51:00<br />
7:51 AM,70.0,59.0,68,29.88,10.0,ENE,6.9,-,N/A,,Mostly Cloudy,70,2016-06-14 12:51:00<br />
8:51 AM,73.0,61.0,66,29.88,10.0,ENE,8.1,-,N/A,,Scattered Clouds,60,2016-06-14 13:51:00<br />
9:51 AM,78.1,63.0,60,29.88,10.0,ESE,6.9,-,N/A,,Scattered Clouds,120,2016-06-14 14:51:00<br />
10:51 AM,79.0,63.0,58,29.88,10.0,Variable,4.6,-,N/A,,Scattered Clouds,0,2016-06-14 15:51:00<br />
11:51 AM,82.0,64.9,56,29.86,10.0,SSE,10.4,-,N/A,,Mostly Cloudy,150,2016-06-14 16:51:00<br />
12:51 PM,84.9,66.0,53,29.85,10.0,SSE,9.2,-,N/A,,Mostly Cloudy,160,2016-06-14 17:51:00<br />
1:51 PM,84.9,66.0,53,29.83,10.0,SE,10.4,-,N/A,,Mostly Cloudy,130,2016-06-14 18:51:00<br />
2:51 PM,86.0,66.0,51,29.80,10.0,East,12.7,-,N/A,,Mostly Cloudy,100,2016-06-14 19:51:00<br />
3:51 PM,84.9,64.9,51,29.79,10.0,East,16.1,-,N/A,,Mostly Cloudy,90,2016-06-14 20:51:00<br />
4:51 PM,84.0,66.9,56,29.78,10.0,East,15.0,-,N/A,,Mostly Cloudy,90,2016-06-14 21:51:00<br />
5:51 PM,81.0,68.0,65,29.80,10.0,SSE,11.5,-,N/A,,Mostly Cloudy,150,2016-06-14 22:51:00<br />
6:51 PM,80.1,69.1,69,29.78,10.0,SE,9.2,-,N/A,,Overcast,140,2016-06-14 23:51:00<br />
7:51 PM,80.1,68.0,67,29.76,10.0,SSE,11.5,-,0.00,,Mostly Cloudy,150,2016-06-15 00:51:00<br />
8:51 PM,79.0,69.1,72,29.76,10.0,SSE,10.4,-,N/A,,Mostly Cloudy,160,2016-06-15 01:51:00<br />
9:51 PM,78.1,70.0,76,29.78,10.0,SSE,8.1,-,0.00,,Overcast,150,2016-06-15 02:51:00<br />
10:51 PM,75.9,69.1,79,29.77,10.0,SSE,17.3,-,N/A,,Overcast,160,2016-06-15 03:51:00<br />
11:51 PM,75.0,68.0,79,29.75,10.0,SSE,9.2,-,N/A,,Mostly Cloudy,160,2016-06-15 04:51:00<br />
