
TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,46.0,35.1,66,30.23,10.0,North,4.6,-,N/A,,Clear,360,2016-04-16 05:51:00<br />
1:51 AM,44.1,35.1,71,30.23,10.0,North,4.6,-,N/A,,Clear,10,2016-04-16 06:51:00<br />
2:51 AM,44.1,35.1,71,30.23,10.0,NNE,3.5,-,N/A,,Clear,30,2016-04-16 07:51:00<br />
3:51 AM,42.1,36.0,79,30.24,10.0,Calm,Calm,-,N/A,,Clear,0,2016-04-16 08:51:00<br />
4:51 AM,43.0,36.0,76,30.25,10.0,North,5.8,-,N/A,,Clear,10,2016-04-16 09:51:00<br />
5:51 AM,44.1,36.0,73,30.27,10.0,North,3.5,-,N/A,,Clear,10,2016-04-16 10:51:00<br />
6:51 AM,46.0,37.9,73,30.30,8.0,NNE,4.6,-,N/A,,Partly Cloudy,20,2016-04-16 11:51:00<br />
7:51 AM,52.0,39.9,63,30.30,10.0,NE,3.5,-,N/A,,Partly Cloudy,50,2016-04-16 12:51:00<br />
8:51 AM,57.0,41.0,55,30.31,10.0,East,3.5,-,N/A,,Clear,100,2016-04-16 13:51:00<br />
9:51 AM,64.0,42.1,45,30.30,10.0,SE,3.5,-,N/A,,Clear,130,2016-04-16 14:51:00<br />
10:51 AM,69.1,43.0,39,30.30,10.0,East,3.5,-,N/A,,Clear,80,2016-04-16 15:51:00<br />
11:51 AM,73.0,44.1,35,30.29,10.0,ENE,8.1,-,N/A,,Clear,60,2016-04-16 16:51:00<br />
12:51 PM,75.0,44.1,33,30.29,10.0,East,10.4,-,N/A,,Partly Cloudy,100,2016-04-16 17:51:00<br />
1:51 PM,75.9,44.1,32,30.29,10.0,East,12.7,-,N/A,,Partly Cloudy,80,2016-04-16 18:51:00<br />
2:51 PM,75.0,43.0,32,30.29,10.0,ENE,13.8,-,N/A,,Partly Cloudy,70,2016-04-16 19:51:00<br />
3:51 PM,75.0,42.1,31,30.28,10.0,ENE,13.8,-,N/A,,Partly Cloudy,60,2016-04-16 20:51:00<br />
4:51 PM,73.0,41.0,31,30.28,10.0,ENE,12.7,-,N/A,,Partly Cloudy,60,2016-04-16 21:51:00<br />
5:51 PM,70.0,41.0,35,30.28,10.0,ENE,12.7,-,N/A,,Partly Cloudy,60,2016-04-16 22:51:00<br />
6:51 PM,66.0,39.9,38,30.29,10.0,ENE,10.4,-,N/A,,Partly Cloudy,60,2016-04-16 23:51:00<br />
7:51 PM,62.1,39.0,43,30.29,10.0,NE,6.9,-,N/A,,Partly Cloudy,50,2016-04-17 00:51:00<br />
8:51 PM,59.0,39.9,49,30.31,10.0,NE,4.6,-,N/A,,Clear,40,2016-04-17 01:51:00<br />
9:51 PM,57.0,39.0,51,30.32,10.0,ENE,5.8,-,N/A,,Clear,70,2016-04-17 02:51:00<br />
10:51 PM,55.0,37.9,53,30.32,10.0,East,5.8,-,N/A,,Clear,80,2016-04-17 03:51:00<br />
11:51 PM,52.0,39.0,61,30.32,10.0,NNE,4.6,-,N/A,,Clear,30,2016-04-17 04:51:00<br />
