
TimeCDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,53.1,39.0,59,30.17,10.0,ENE,10.4,-,N/A,,Overcast,70,2016-04-20 05:51:00<br />
1:51 AM,52.0,39.0,61,30.15,10.0,ENE,10.4,-,N/A,,Mostly Cloudy,70,2016-04-20 06:51:00<br />
2:51 AM,53.1,37.0,55,30.14,10.0,East,9.2,-,N/A,,Overcast,90,2016-04-20 07:51:00<br />
3:51 AM,51.1,36.0,56,30.13,10.0,ESE,9.2,-,N/A,,Scattered Clouds,110,2016-04-20 08:51:00<br />
4:51 AM,51.1,36.0,56,30.12,10.0,East,8.1,-,N/A,,Scattered Clouds,100,2016-04-20 09:51:00<br />
5:51 AM,52.0,37.0,57,30.12,10.0,East,10.4,-,N/A,,Partly Cloudy,100,2016-04-20 10:51:00<br />
6:51 AM,52.0,39.0,61,30.12,10.0,East,9.2,-,N/A,,Mostly Cloudy,90,2016-04-20 11:51:00<br />
7:51 AM,55.0,37.9,53,30.10,10.0,SE,15.0,-,N/A,,Mostly Cloudy,130,2016-04-20 12:51:00<br />
8:51 AM,57.9,39.0,49,30.09,10.0,SE,12.7,-,N/A,,Mostly Cloudy,130,2016-04-20 13:51:00<br />
9:51 AM,61.0,39.9,46,30.09,10.0,SE,6.9,-,N/A,,Overcast,140,2016-04-20 14:51:00<br />
10:51 AM,64.9,42.1,43,30.07,10.0,SE,9.2,-,N/A,,Overcast,140,2016-04-20 15:51:00<br />
11:51 AM,66.9,43.0,42,30.06,10.0,ESE,8.1,-,N/A,,Overcast,110,2016-04-20 16:51:00<br />
12:51 PM,68.0,43.0,40,30.04,10.0,ESE,6.9,-,N/A,,Overcast,120,2016-04-20 17:51:00<br />
1:51 PM,71.1,45.0,39,30.01,10.0,ESE,10.4,19.6,N/A,,Overcast,120,2016-04-20 18:51:00<br />
2:51 PM,70.0,45.0,41,29.98,10.0,ESE,12.7,-,N/A,,Overcast,120,2016-04-20 19:51:00<br />
3:51 PM,69.1,46.9,45,29.97,10.0,South,10.4,-,N/A,,Overcast,170,2016-04-20 20:51:00<br />
4:51 PM,68.0,48.9,50,29.95,10.0,South,11.5,-,0.00,,Overcast,170,2016-04-20 21:51:00<br />
5:51 PM,68.0,50.0,52,29.95,10.0,South,11.5,-,0.00,,Overcast,170,2016-04-20 22:51:00<br />
6:51 PM,66.9,48.9,52,29.94,10.0,South,15.0,-,N/A,,Overcast,170,2016-04-20 23:51:00<br />
7:51 PM,60.1,55.0,83,29.96,7.0,SW,11.5,-,0.02,Rain,Light Rain,230,2016-04-21 00:51:00<br />
8:02 PM,59.0,55.0,87,29.96,4.0,SW,11.5,-,0.04,Rain,Rain,230,2016-04-21 01:02:00<br />
8:44 PM,57.9,55.0,90,29.96,5.0,SSW,8.1,-,0.16,Rain,Light Rain,200,2016-04-21 01:44:00<br />
8:51 PM,57.9,55.0,90,29.96,6.0,South,6.9,-,0.17,Rain,Light Rain,190,2016-04-21 01:51:00<br />
9:51 PM,57.0,55.9,96,29.96,5.0,South,8.1,-,0.11,Rain,Rain,180,2016-04-21 02:51:00<br />
10:51 PM,57.0,55.9,96,29.94,7.0,SSW,5.8,-,0.05,Rain,Light Rain,200,2016-04-21 03:51:00<br />
11:13 PM,57.0,55.0,93,29.93,7.0,South,5.8,-,0.02,Rain,Light Rain,180,2016-04-21 04:13:00<br />
11:35 PM,57.0,55.0,93,29.93,7.0,South,6.9,-,0.03,Rain,Light Rain,170,2016-04-21 04:35:00<br />
11:51 PM,57.0,55.0,93,29.94,8.0,South,5.8,-,0.03,Rain,Light Rain,170,2016-04-21 04:51:00<br />
